Year,Month,DayofMonth,DayofWeek,ActualDepTime,ScheduledDepTime,ActualArrTime,ScheduledArrTime,Carrier,FlightNum,TailNum,ActualTotalTime,ScheduledTotalTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,ColY,ColZ,ColAA,ColAB,ColAC
2008,1,4,5,635,635,741,755,WN,2031,N401WN,66,80,54,-14,0,PVD,BWI,328,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1816,1815,1923,1935,WN,2034,N764SW,67,80,58,-12,1,PVD,BWI,328,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,932,925,1043,1040,WN,2442,N256WN,71,75,58,3,7,PVD,BWI,328,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,716,715,821,835,WN,2640,N497WN,65,80,56,-14,1,PVD,BWI,328,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1511,1455,1625,1610,WN,2795,N604SW,74,75,59,15,16,PVD,BWI,328,3,12,0,,0,4,0,0,0,11
2008,1,4,5,2054,2100,2201,2215,WN,3918,N480WN,67,75,58,-14,-6,PVD,BWI,328,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,745,740,1039,1110,WN,2988,N220WN,174,210,164,-31,5,PVD,FLL,1188,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,747,730,1031,1040,WN,3423,N451WN,344,370,329,-9,17,PVD,LAS,2363,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1247,1230,1528,1540,WN,186,N414WN,161,190,148,-12,17,PVD,MCO,1073,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,725,720,1009,1030,WN,499,N793SA,164,190,149,-21,5,PVD,MCO,1073,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1708,1705,1947,2010,WN,1030,N454WN,159,185,145,-23,3,PVD,MCO,1073,7,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,942,945,1225,1250,WN,2368,N404WN,163,185,151,-25,-3,PVD,MCO,1073,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2126,2030,2354,2330,WN,2451,N400WN,148,180,139,24,56,PVD,MCO,1073,3,6,0,,0,0,0,0,0,24
2008,1,4,5,1552,1545,1841,1850,WN,3134,N269WN,169,185,154,-9,7,PVD,MCO,1073,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,632,630,758,810,WN,118,N493WN,146,160,131,-12,2,PVD,MDW,842,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1031,1030,1157,1210,WN,299,N472WN,146,160,129,-13,1,PVD,MDW,842,10,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1927,1925,2058,2105,WN,393,N509SW,151,160,134,-7,2,PVD,MDW,842,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1458,1455,1622,1635,WN,3841,N707SA,144,160,130,-13,3,PVD,MDW,842,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,824,825,929,940,WN,723,N339SW,65,75,56,-11,-1,PVD,PHL,238,4,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1125,1130,1242,1245,WN,1319,N623SW,77,75,63,-3,-5,PVD,PHL,238,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1356,1340,1501,1500,WN,1338,N294WN,65,80,50,1,16,PVD,PHL,238,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1540,NA,1710,WN,1410,,NA,90,NA,NA,NA,PVD,PHL,238,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,4,5,2004,2005,2110,2125,WN,2731,N422WN,66,80,55,-15,-1,PVD,PHL,238,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1619,1610,1958,2005,WN,3061,N753SW,339,355,324,-7,9,PVD,PHX,2277,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,700,655,953,1010,WN,77,N714CB,173,195,161,-17,5,PVD,TPA,1137,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1346,1335,1638,1650,WN,3405,N299WN,172,195,162,-12,11,PVD,TPA,1137,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1853,1855,2139,2210,WN,3580,N288WN,166,195,157,-31,-2,PVD,TPA,1137,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2022,2020,2043,2055,WN,312,N365SW,81,95,71,-12,2,RDU,BNA,443,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,826,825,857,900,WN,341,N699SW,91,95,70,-3,1,RDU,BNA,443,4,17,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,616,615,641,650,WN,1597,N403WN,85,95,70,-9,1,RDU,BNA,443,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1316,1315,1342,1350,WN,2463,N774SW,86,95,71,-8,1,RDU,BNA,443,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1751,1745,1832,1820,WN,2821,N790SW,101,95,71,12,6,RDU,BNA,443,18,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2103,2105,2154,2200,WN,85,N662SW,51,55,43,-6,-2,RDU,BWI,255,3,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1650,1645,1742,1745,WN,269,N313SW,52,60,45,-3,5,RDU,BWI,255,2,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,640,635,732,730,WN,640,N371SW,52,55,42,2,5,RDU,BWI,255,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1518,1520,1615,1620,WN,1516,N367SW,57,60,43,-5,-2,RDU,BWI,255,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1205,1200,1305,1255,WN,2621,N604SW,60,55,43,10,5,RDU,BWI,255,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,923,900,1017,1000,WN,3569,N276WN,54,60,43,17,23,RDU,BWI,255,6,5,0,,0,0,0,0,0,17
2008,1,4,5,1725,1725,1952,1940,WN,563,N425LV,327,315,285,12,0,RDU,LAS,2027,34,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,726,715,935,930,WN,1945,N551WN,309,315,292,5,11,RDU,LAS,2027,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,826,830,1000,1015,WN,430,N465WN,94,105,78,-15,-4,RDU,MCO,534,7,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1323,1255,1458,1440,WN,1414,N689SW,95,105,78,18,28,RDU,MCO,534,7,10,0,,0,0,0,0,0,18
2008,1,4,5,1831,1835,2005,2020,WN,3046,N624SW,94,105,77,-15,-4,RDU,MCO,534,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1049,1050,1226,1230,WN,3499,N745SW,97,100,79,-4,-1,RDU,MCO,534,7,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1615,1615,1709,1720,WN,166,N731SA,114,125,99,-11,0,RDU,MDW,632,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,720,715,815,820,WN,407,N790SW,115,125,98,-5,5,RDU,MDW,632,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1902,1835,1958,1940,WN,1076,N388SW,116,125,105,18,27,RDU,MDW,632,5,6,0,,0,0,0,0,0,18
2008,1,4,5,940,940,1031,1045,WN,1402,N341SW,111,125,101,-14,0,RDU,MDW,632,5,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1129,1130,1240,1245,WN,144,N701GS,71,75,62,-5,-1,RDU,PHL,336,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1327,1325,1447,1440,WN,201,N295WN,80,75,64,7,2,RDU,PHL,336,2,14,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,901,905,1012,1020,WN,334,N483WN,71,75,61,-8,-4,RDU,PHL,336,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2102,2040,2211,2155,WN,882,N214WN,69,75,58,16,22,RDU,PHL,336,4,7,0,,0,1,0,0,0,15
2008,1,4,5,1703,1700,1811,1825,WN,1502,N383SW,68,85,56,-14,3,RDU,PHL,336,4,8,0,,0,NA,NA,NA,NA,NA
